State,Year,Quater,Entity_Name,Entity_Type,User_count
andhra-pradesh,2021,1,spsr nellore,State,1100541
andhra-pradesh,2021,1,prakasam,State,1075936
andhra-pradesh,2021,2,visakhapatnam,State,2526830
andhra-pradesh,2021,2,east godavari,State,2006272
andhra-pradesh,2021,2,krishna,State,2002662
andhra-pradesh,2021,2,guntur,State,1968681
andhra-pradesh,2021,2,chittoor,State,1870723
andhra-pradesh,2021,2,anantapur,State,1492738
andhra-pradesh,2021,2,kurnool,State,1415585
andhra-pradesh,2021,2,west godavari,State,1339377
andhra-pradesh,2021,2,spsr nellore,State,1176334
andhra-pradesh,2021,2,prakasam,State,1151232
andhra-pradesh,2021,3,visakhapatnam,State,2707931
andhra-pradesh,2021,3,east godavari,State,2150622
andhra-pradesh,2021,3,krishna,State,2145423
andhra-pradesh,2021,3,guntur,State,2110878
andhra-pradesh,2021,3,chittoor,State,2007011
andhra-pradesh,2021,3,anantapur,State,1606735
andhra-pradesh,2021,3,kurnool,State,1522196
andhra-pradesh,2021,3,west godavari,State,1436576
andhra-pradesh,2021,3,spsr nellore,State,1263550
andhra-pradesh,2021,3,prakasam,State,1239147
andhra-pradesh,2021,4,visakhapatnam,State,2888774
andhra-pradesh,2021,4,east godavari,State,2294347
andhra-pradesh,2021,4,krishna,State,2288148
andhra-pradesh,2021,4,guntur,State,2252443
andhra-pradesh,2021,4,chittoor,State,2141818
andhra-pradesh,2021,4,anantapur,State,1719437
andhra-pradesh,2021,4,kurnool,State,1628242
andhra-pradesh,2021,4,west godavari,State,1532898
andhra-pradesh,2021,4,spsr nellore,State,1349290
andhra-pradesh,2021,4,prakasam,State,1325728
andhra-pradesh,2022,1,visakhapatnam,State,3061324
andhra-pradesh,2022,1,east godavari,State,2432305
andhra-pradesh,2022,1,krishna,State,2423373
andhra-pradesh,2022,1,guntur,State,2387051
andhra-pradesh,2022,1,chittoor,State,2270705
andhra-pradesh,2022,1,anantapur,State,1827094
andhra-pradesh,2022,1,kurnool,State,1729513
andhra-pradesh,2022,1,west godavari,State,1626039
andhra-pradesh,2022,1,spsr nellore,State,1431664
andhra-pradesh,2022,1,prakasam,State,1408929
andhra-pradesh,2022,2,visakhapatnam,State,3226029
andhra-pradesh,2022,2,east godavari,State,2564165
andhra-pradesh,2022,2,krishna,State,2552107
andhra-pradesh,2022,2,guntur,State,2514794
andhra-pradesh,2022,2,chittoor,State,2392549
andhra-pradesh,2022,2,anantapur,State,1928213
andhra-pradesh,2022,2,kurnool,State,1825280
andhra-pradesh,2022,2,west godavari,State,1714357
andhra-pradesh,2022,2,spsr nellore,State,1509927
andhra-pradesh,2022,2,prakasam,State,1487589
andhra-pradesh,2022,3,visakhapatnam,State,3397514
andhra-pradesh,2022,3,east godavari,State,2702234
andhra-pradesh,2022,3,krishna,State,2685215
andhra-pradesh,2022,3,guntur,State,2647100
andhra-pradesh,2022,3,chittoor,State,2517657
andhra-pradesh,2022,3,anantapur,State,2030824
andhra-pradesh,2022,3,kurnool,State,1924127
andhra-pradesh,2022,3,west godavari,State,1805967
andhra-pradesh,2022,3,spsr nellore,State,1588875
andhra-pradesh,2022,3,prakasam,State,1567520
andhra-pradesh,2022,4,visakhapatnam,State,3566854
andhra-pradesh,2022,4,east godavari,State,2835087
andhra-pradesh,2022,4,krishna,State,2813645
andhra-pradesh,2022,4,guntur,State,2774365
andhra-pradesh,2022,4,chittoor,State,2636036
andhra-pradesh,2022,4,anantapur,State,2128066
andhra-pradesh,2022,4,kurnool,State,2018290
andhra-pradesh,2022,4,west godavari,State,1893310
andhra-pradesh,2022,4,spsr nellore,State,1663684
andhra-pradesh,2022,4,prakasam,State,1642503
andhra-pradesh,2023,1,visakhapatnam,State,3732544
andhra-pradesh,2023,1,east godavari,State,2965296
andhra-pradesh,2023,1,krishna,State,2941585
andhra-pradesh,2023,1,guntur,State,2900895
andhra-pradesh,2023,1,chittoor,State,2755784
andhra-pradesh,2023,1,anantapur,State,2228505
andhra-pradesh,2023,1,kurnool,State,2114023
andhra-pradesh,2023,1,west godavari,State,1980446
andhra-pradesh,2023,1,spsr nellore,State,1740294
andhra-pradesh,2023,1,prakasam,State,1719910
andhra-pradesh,2023,2,visakhapatnam,State,3877504
andhra-pradesh,2023,2,east godavari,State,3082893
andhra-pradesh,2023,2,krishna,State,3054956
andhra-pradesh,2023,2,guntur,State,3014655
andhra-pradesh,2023,2,chittoor,State,2865250
andhra-pradesh,2023,2,anantapur,State,2323796
andhra-pradesh,2023,2,kurnool,State,2202517
andhra-pradesh,2023,2,west godavari,State,2059880
andhra-pradesh,2023,2,spsr nellore,State,1811781
andhra-pradesh,2023,2,prakasam,State,1792637
andhra-pradesh,2023,3,visakhapatnam,State,4035323
andhra-pradesh,2023,3,east godavari,State,3211557
andhra-pradesh,2023,3,krishna,State,3177643
andhra-pradesh,2023,3,guntur,State,3137289
andhra-pradesh,2023,3,chittoor,State,2981337
andhra-pradesh,2023,3,anantapur,State,2421293
andhra-pradesh,2023,3,kurnool,State,2295754
andhra-pradesh,2023,3,west godavari,State,2146530
andhra-pradesh,2023,3,spsr nellore,State,1887005
andhra-pradesh,2023,3,prakasam,State,1868997
andhra-pradesh,2023,4,visakhapatnam,State,4180797
andhra-pradesh,2023,4,east godavari,State,3329036
andhra-pradesh,2023,4,krishna,State,3291814
andhra-pradesh,2023,4,guntur,State,3251121
andhra-pradesh,2023,4,chittoor,State,3089391
andhra-pradesh,2023,4,anantapur,State,2512744
andhra-pradesh,2023,4,kurnool,State,2383042
andhra-pradesh,2023,4,west godavari,State,2227243
andhra-pradesh,2023,4,spsr nellore,State,1956706
andhra-pradesh,2023,4,prakasam,State,1939979
andhra-pradesh,2024,1,visakhapatnam,State,4349723
andhra-pradesh,2024,1,east godavari,State,3465605
andhra-pradesh,2024,1,krishna,State,3423998
andhra-pradesh,2024,1,guntur,State,3382454
andhra-pradesh,2024,1,chittoor,State,3214678
andhra-pradesh,2024,1,anantapur,State,2619335
andhra-pradesh,2024,1,kurnool,State,2484451
andhra-pradesh,2024,1,west godavari,State,2319971
andhra-pradesh,2024,1,spsr nellore,State,2037823
andhra-pradesh,2024,1,prakasam,State,2022873
andhra-pradesh,2024,2,visakhapatnam,State,4515738
andhra-pradesh,2024,2,east godavari,State,3597667
andhra-pradesh,2024,2,krishna,State,3552494
andhra-pradesh,2024,2,guntur,State,3508719
andhra-pradesh,2024,2,chittoor,State,3335024
andhra-pradesh,2024,2,anantapur,State,2720387
andhra-pradesh,2024,2,kurnool,State,2580812
andhra-pradesh,2024,2,west godavari,State,2409237
andhra-pradesh,2024,2,spsr nellore,State,2114324
andhra-pradesh,2024,2,prakasam,State,2099814
andhra-pradesh,2024,3,visakhapatnam,State,2487971
andhra-pradesh,2024,3,ntr,State,1953695
andhra-pradesh,2024,3,tirupati,State,1870882
andhra-pradesh,2024,3,guntur,State,1695537
andhra-pradesh,2024,3,sri potti sriramulu nellore,State,1446214
andhra-pradesh,2024,3,ananthapuramu,State,1320379
andhra-pradesh,2024,3,kakinada,State,1293864
andhra-pradesh,2024,3,ysr,State,1209820
andhra-pradesh,2024,3,kurnool,State,1209238
andhra-pradesh,2024,3,east godavari,State,1167720
andhra-pradesh,2024,4,visakhapatnam,State,2566650
andhra-pradesh,2024,4,ntr,State,2010922
andhra-pradesh,2024,4,tirupati,State,1927263
andhra-pradesh,2024,4,guntur,State,1749346
andhra-pradesh,2024,4,sri potti sriramulu nellore,State,1485904
andhra-pradesh,2024,4,ananthapuramu,State,1358486
andhra-pradesh,2024,4,kakinada,State,1333623
andhra-pradesh,2024,4,kurnool,State,1243710
andhra-pradesh,2024,4,ysr,State,1242179
andhra-pradesh,2024,4,east godavari,State,1202680
arunachal-pradesh,2018,1,papum pare,State,7649
arunachal-pradesh,2018,1,west kameng,State,2202
arunachal-pradesh,2018,1,east siang,State,1803
arunachal-pradesh,2018,1,tawang,State,1525
arunachal-pradesh,2018,1,changlang,State,1208
arunachal-pradesh,2018,1,lohit,State,1207
arunachal-pradesh,2018,1,west siang,State,846
arunachal-pradesh,2018,1,namsai,State,737
arunachal-pradesh,2018,1,lower dibang valley,State,601
arunachal-pradesh,2018,1,upper subansiri,State,572
arunachal-pradesh,2018,2,papum pare,State,11418
arunachal-pradesh,2018,2,west kameng,State,3442
arunachal-pradesh,2018,2,east siang,State,2646
